Transaction_ID,Items_Purchased,Item_Count
T0440,"Sugar, Tomato Sauce",2
T0441,"Coffee, Cooking Oil, Dal, Sugar, Tomato Sauce",5
T0442,"Cooking Oil, Tomato Sauce",2
T0443,"Apple, Bread, Butter, Dal, Milk, Pasta, Rice, Tomato Sauce",8
T0444,"Apple, Bread, Juice, Milk",4
T0445,"Cheese, Coffee, Dal",3
T0446,"Bread, Cheese, Milk, Pasta",4
T0447,"Cereal, Cooking Oil, Milk",3
T0448,"Apple, Cheese, Coffee, Sugar, Yogurt",5
T0449,"Bread, Cereal, Coffee, Milk, Sugar, Tomato Sauce",6
T0450,"Bread, Butter, Coffee, Dal, Sugar, Tomato Sauce",6
T0451,"Bread, Butter, Cooking Oil, Dal, Milk, Sugar",6
T0452,"Banana, Bread, Butter, Dal, Milk",5
T0453,"Biscuits, Cooking Oil",2
T0454,"Bread, Butter, Cereal, Milk",4
T0455,"Apple, Cereal, Cooking Oil, Eggs, Tomato Sauce",5
T0456,"Banana, Butter, Coffee, Sugar",4
T0457,"Biscuits, Dal",2
T0458,"Coffee, Dal, Sugar",3
T0459,"Bread, Butter, Milk, Pasta",4
T0460,"Coffee, Sugar, Yogurt",3
T0461,"Bread, Butter, Dal, Eggs, Milk",5
T0462,"Bread, Chips, Eggs, Juice, Milk, Rice, Sugar",7
T0463,"Butter, Dal, Milk, Rice, Yogurt",5
T0464,"Biscuits, Chips, Coffee, Eggs, Juice, Milk, Tea",7
T0465,"Apple, Biscuits, Bread, Butter, Cereal, Chips, Juice, Milk",8
T0466,"Banana, Biscuits, Chips, Sugar",4
T0467,"Butter, Cooking Oil, Eggs",3
T0468,"Bread, Butter, Cereal, Pasta, Sugar, Tomato Sauce",6
T0469,"Apple, Bread, Butter, Dal, Milk, Rice, Sugar, Tomato Sauce",8
T0470,"Banana, Coffee, Eggs, Sugar",4
T0471,"Biscuits, Bread, Cheese, Milk, Tea",5
T0472,"Biscuits, Chips, Dal",3
T0473,"Butter, Cereal, Milk",3
T0474,"Banana, Chips, Juice, Milk",4
T0475,"Cheese, Eggs, Tomato Sauce",3
T0476,"Dal, Pasta, Rice",3
T0477,"Apple, Biscuits, Bread, Coffee, Milk, Sugar, Tomato Sauce",7
T0478,"Bread, Cereal, Chips, Dal, Juice, Sugar",6
T0479,"Apple, Biscuits, Dal, Eggs, Rice",5
T0480,"Banana, Biscuits, Dal, Yogurt",4
T0481,"Banana, Bread, Milk, Tea",4
T0482,"Bread, Butter, Coffee, Juice, Milk, Sugar",6
T0483,"Biscuits, Coffee, Sugar, Tea",4
T0484,"Banana, Bread",2
T0485,"Banana, Cereal, Cooking Oil, Juice, Milk",5
T0486,"Cooking Oil, Sugar",2
T0487,"Apple, Bread, Coffee, Cooking Oil, Juice, Milk, Pasta, Tomato Sauce",8
T0488,"Bread, Cereal, Coffee, Milk, Sugar",5
T0489,"Biscuits, Tea, Yogurt",3
T0490,"Apple, Cheese",2
T0491,"Biscuits, Sugar",2
T0492,"Biscuits, Bread, Butter, Cereal, Cooking Oil, Milk, Yogurt",7
T0493,"Cooking Oil, Eggs, Juice, Milk, Tomato Sauce",5
T0494,"Apple, Bread, Butter, Dal, Eggs, Milk, Rice",7
T0495,"Biscuits, Cheese, Dal, Rice, Tea",5
T0496,"Apple, Bread, Butter, Cheese, Dal, Milk, Rice",7
T0497,"Chips, Juice, Tomato Sauce",3
T0498,"Apple, Cooking Oil, Pasta",3
T0499,"Apple, Bread, Butter, Eggs, Milk, Rice",6
T0500,"Bread, Butter, Dal, Milk, Sugar",5
